workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,problem_date,action,cluster_id,cluster_name
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,3340,"R/H STROBE LIGHT ASSY REMOVED AS SERVICEABLE FOR 2081G W/O #1113518, PD #1.",2014-01-15,INSTALLED LENS & SEAL.,c_9,baffle seal loose/damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2810,FUEL TANKS NEED TO BE REMOVED TO FACILITATE OTHER MAINTENANCE.,2014-01-15,"CK'ED LOW FUEL LIGHT, CK'ED GOOD. IND OPS CK'ED GOOD. LEAK CK'ED GOOD.",c_27,induction damage/hardware fail
1112078,2012-06-19 09:33,2012-08-09 13:47,N297ND,26878.9,0,BROUGHT UP IN ERROR.,2012-08-09,ERROR.,c_36,pilot/in-flight noticed issue
1112289,2012-06-25 07:00,2012-07-11 13:28,N406DB,3897.4,6530,T/R HUB GREASE HOUSINGS NEED TO BE REMOVED FOR NEW STYLE GREASE.,2012-07-02,REMOVED & REPLACED TRUNNION RACES. FABRICATED PRESS PLUG FOR BEARINGS. INSTALLED BEARINGS & SEALS INTO T/R PILLOW BLOCKS.,c_39,spark plug need repair/replace
1112289,2012-06-25 07:00,2012-07-11 13:28,N406DB,3897.4,7920,OIL COOLER STANDOFF NEEDS TO BE RESEALED.,2012-07-05,REMOVED & REPLACED O-RINGS & GASKETS ON STANDOFF TUBE.,c_32,oil cooler need maintenance
1112289,2012-06-25 07:00,2012-07-11 13:28,N406DB,3897.4,6630,M/R TRANS INPUT SEAL LEAKING.,2012-07-07,"INSTALLED M/R XMSN BACK ON A/C, INSTALLED DRIVESHAFT & ROTOR BRAKES, CONNECTED WIRE HARNESS & CONTROLS. SERVICED XMSN W/ 2380 OIL.",c_34,oil leak/pressure issue
1112289,2012-06-25 07:00,2012-07-11 13:28,N406DB,3897.4,3210,SKID SHOE SCREWS ARE LOOSE.,2012-07-10,RETORQUED SKID SHOE FASTENERS.,c_25,engine seal/tube/bolt loose or damage
1112289,2012-06-25 07:00,2012-07-11 13:28,N406DB,3897.4,520,M/R HEAD LUBE DUE.,2012-07-11,SEE PD #1.,c_16,cylinder head/exhaust gas temperature issue
1112289,2012-06-25 07:00,2012-07-11 13:28,N406DB,3897.4,6660,T/R OUTPUT SEAL LEAKING.,2012-07-11,LEAK CHECK GOOD.,c_9,baffle seal loose/damage
1112289,2012-06-25 07:00,2012-07-11 13:28,N406DB,3897.4,520,T/R TRANS OIL CHANGE DUE.,2012-07-11,SERVICED W/ OIL.,c_34,oil leak/pressure issue
1112289,2012-06-25 07:00,2012-07-11 13:28,N406DB,3897.4,520,M/R TRANS OIL & FILTER CHANGE DUE.,2012-07-11,LEAK CHECK GOOD.,c_34,oil leak/pressure issue
1112289,2012-06-25 07:00,2012-07-11 13:28,N406DB,3897.4,6630,M/R TRANS INPUT SEAL LEAKING.,2012-07-11,"RAN A/C, LEAK CHECK GOOD.",c_9,baffle seal loose/damage
1112289,2012-06-25 07:00,2012-07-11 13:28,N406DB,3897.4,7920,OIL COOLER STANDOFF NEEDS TO BE RESEALED.,2012-07-11,LEAK CHECK GOOD.,c_32,oil cooler need maintenance
1112375,2012-06-26 13:00,2012-07-09 12:59,N449ND,12229.3,520,PHASE 1 INSP DUE.,2012-07-09,INSPECTED PROPELLER. C/W PHASE 1 INSPECTION.,c_26,engine/propeller overspeed or damage
1112375,2012-06-26 13:00,2012-07-09 12:59,N449ND,12229.3,520,PHASE 1 INSP DUE.,2012-07-09,"OPS TEST & INSPECT ELT IAW FAR 91.207(D), ELT BATTERY EXP: 1/31/13. DEGREASE BELLY & ENGINE COMPARTMENT. WASH A/C. GROUND RUN & LEAK CK SATISFACTORY.",c_21,engine failure/fire/time out
1112375,2012-06-26 13:00,2012-07-09 12:59,N449ND,12229.3,520,PHASE 1 INSP DUE.,2012-07-09,"DRAIN ENG OIL & SERVICE W/ 8 QTS OIL. INSTALL NEW OIL FILTER. CUT OPEN ORIGINAL FILTER & INSP, FOUND SATISFACTORY. CLEAN BOTTOM LEFT & TOP RIGHT SPARK PLUGS.",c_39,spark plug need repair/replace
1112404,2012-06-27 08:14,2012-07-03 15:56,N599ND,4436.0,7610,"LEFT THROTTLE JAMMED ON APPROACH, STUCK @ 1950 RPM.",2012-07-02,CONTINUED.,c_22,engine idle/rpm issue
1112404,2012-06-27 08:14,2012-07-03 15:56,N599ND,4436.0,7610,"LEFT THROTTLE JAMMED ON APPROACH, STUCK @ 1950 RPM.",2012-07-03,"REMOVED & REPLACED MIXTURE & THROTTLE CABLES TO LEFT ENGINE, COMPLYING W/ PART 2 OF PIPER SB 1220B. OPS CHECK GOOD.",c_31,mixture fail/need adjust
1112413,2012-06-27 11:32,2012-08-23 09:38,N522ND,7792.2,2430,"CAN BATTERY FOR N577ND W/O #1112159, PD #1, TAG #1487 (BATT TIME 273.1).",2012-08-23,INSTALLED BATTERY S/N G02736410. OPS CHECK GOOD.,c_35,oil return line issue
1112444,2012-06-28 07:04,2012-07-03 16:00,N590ND,8417.1,3240,L/H MLG BRAKE CALIPER SEEPING AROUND PUCKS.,2012-07-02,"PRESSURE BLED BOTH BRAKES, OPS CHECK GOOD.",c_34,oil leak/pressure issue
1112444,2012-06-28 07:04,2012-07-03 16:00,N590ND,8417.1,3210,L/H MLG SHRAEDER VALVE LEAKING AROUND GASKET.,2012-07-03,REMOVED & REPLACED SHRAEDER VALVE. SERVICED W/ NITROGEN. LK CHECKS GOOD.,c_15,cylinder exhaust valve/stuck valve issue
1112501,2012-06-29 08:17,2012-08-06 13:16,N297ND,26918.9,3450,GPS BATTERY LOW.,2012-08-06,REINSTALLED REPAIRED GNS430 S/N 97104989. OPS CHECK OK.,c_13,cylinder compression issue
1112501,2012-06-29 08:17,2012-08-06 13:16,N297ND,26918.9,3450,GPS BATTERY LOW.,2012-08-06,"REMOVED #2 GNS430, ROUTED TO FALCON EXECUTIVE AVIONICS FOR BATTERY REPLACEMENT - SEE ATTACHED 8130.",c_1,aircraft start/external issue
1112512,2012-06-29 09:42,2012-08-06 13:15,N449ND,12251.2,7410,LEFT MAG FAILED CHECK ON RUN UP.,2012-08-06,REPLACED L/H MAG W/ CUSTOMER PROVIDED PART S/N 11070778. OPS CK GOOD.,c_30,magneto failure
1112512,2012-06-29 09:42,2012-08-06 13:15,N449ND,12251.2,7410,LEFT MAG FAILED CHECK ON RUN UP.,2012-08-06,"FOR BILLING PURPOSES ONLY, WORK PERFORMED BY: CHANDLER AVIATION ON INVOICE #49359 DATED 6/29/12.",c_30,magneto failure
1112553,2012-06-30 11:33,2012-07-01 12:25,N546ND,5126.7,7410,L/H MAGNETO TIMED OUT.,2012-07-01,"MAG DROPS W/IN SPECS, NO LEAKS NOTED.",c_30,magneto failure
1112553,2012-06-30 11:33,2012-07-01 12:25,N546ND,5126.7,3400,MAGNETOMETER WIRE HARNESS SUPPORT NEEDS TO BE REINSTALLED.,2012-07-01,REINSTALLED HARNESS SUPPORT W/ 1300L ADHESIVE.,c_30,magneto failure
