workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1118025,2012-12-05 12:42:00,2012-12-12 14:30:00,N509ND,7507.799999999999,7100.0,ENGINE CHANGE IS DUE.,2012-12-12,"RAN A/C, LEAK CHECK GOOD. SET MIXTURE & IDLE RPM.",c_31,mixture adjust mixture control
1118025,2012-12-05 12:42:00,2012-12-12 14:30:00,N509ND,7507.799999999999,400.0,"AD 2001-06-17, IMPROPER FUEL FLOW SETTINGS DUE. EFF DATE 4/20/01.",2012-12-12,SET MIXTURE & IDLE RPM TO SPECS. NEXT DUE @ 2487.8 TACH.,c_31,mixture adjust mixture control
1118081,2012-12-07 07:35:00,2012-12-13 11:37:00,N603ND,35.400000000000006,400.0,"AD 2001-06-17, IMPROPER FUEL FLOW SETTINGS DUE. EFF DATE 4/20/01.",2012-12-13,CHECKED IDLE RPM & MIXTURE IAW AD INSTRUCTIONS. CHECK GOOD. NO FURTHER ACTION REQUIRED.,c_31,mixture adjust mixture control
1118082,2012-12-07 07:36:00,2012-12-13 11:35:00,N604ND,23.4,400.0,"AD 2001-06-17, IMPROPER FUEL FLOW SETTING DUE. EFF DATE 4/20/01.",2012-12-13,CHECKED IDLE RPM & MIXTURE IAW AD INSTRUCTIONS. CHECK GOOD. NO FURTHER ACTION REQUIRED.,c_31,mixture adjust mixture control
1118171,2012-12-11 06:54:00,2012-12-18 12:42:00,N550ND,7664.400000000001,400.0,"AD 2011-16-17, FUEL INCORRECT FLOW SETTING DUE. EFF DATE 4/20/01.",2012-12-18,ADJUSTED MIXTURE & IDLE TO PROPER RISE & RPMS. NEXT DUE @ 2531.4 TACH.,c_31,mixture adjust mixture control
1118209,2012-12-12 06:59:00,2012-12-15 13:02:00,N570ND,7268.299999999999,7410.0,IDLE SPEED LOW W/ NO MIXTURE RISE.,2012-12-12,ADJUSTED IDLE SPEED & MIXTURE.,c_31,mixture adjust mixture control
1118209,2012-12-12 06:59:00,2012-12-15 13:02:00,N570ND,7268.299999999999,7410.0,IDLE SPEED LOW W/ NO MIXTURE RISE.,2012-12-14,OPS CHECK GOOD.,c_31,mixture adjust mixture control
1118349,2012-12-18 12:34:00,2012-12-18 14:17:00,N539ND,9912.3,400.0,"AD 2001--06-17, IMPROPER FUEL FLOW SETTING DUE. EFF DATE 4/20/01.",2012-12-18,"C/W AD BY RUNNING UP ENG TO OPERATING TEMPS & CK'ING MIXTURE RISE & IDLE, BOTH W/IN LIMITS. OPS CK GOOD.",c_31,mixture adjust mixture control
1118392,2012-12-21 07:27:00,2012-12-28 09:01:00,N526ND,7352.1,7310.0,IDLE SPEED @ 700 W/ 140 RPM RISE.,2012-12-21,ADJUSTED IDLE SPEED & MIXTURE.,c_31,mixture adjust mixture control
1118446,2012-12-28 07:04:00,2012-12-28 10:05:00,N574ND,11734.3,7310.0,IDLE SPEED @ 610 W/ 180 RPM RISE.,2012-12-28,ADJUSTED IDLE SPEED & MIXTURE.,c_31,mixture adjust mixture control
1118472,2012-12-31 07:04:00,2013-01-10 13:40:00,N537ND,7353.0,7100.0,ENGINE DUE TIME CHANGE.,2013-01-10,RAN A/C. SET IDLE RPM & MIXTURE. LEAK & OPS CHECK GOOD. SEE W/O #1118716 FOR MAINTENANCE FLIGHT.,c_31,mixture adjust mixture control
1118472,2012-12-31 07:04:00,2013-01-10 13:40:00,N537ND,7353.0,400.0,"AD 2001-06-17, IMPROPER FUEL FLOW SETTINGS DUE. EFF DATE 4/20/01.",2013-01-10,ADJUSTED IDLE RPM & MIXTURE IAW CESSNA MAINTENANCE MANUAL. NEXT DUE AS REQUIRED.,c_31,mixture adjust mixture control
1118942,2013-01-18 06:58:00,2013-01-18 13:30:00,N546ND,6769.200000000001,7100.0,IDLE & MIXTURE NEED TO BE ADJUSTED FOR SEASONAL TEMPERATURE CONDITIONS.,2013-01-18,OPS CHECK GOOD.,c_31,mixture adjust mixture control
